n_clusters,n_features,damping,reg,bias_value,avg_hr,avg_ndcg
150,2000,5.0,0.0001,True,0.06638895489527616,4.476160935040386e-06
150,1000,5.0,0.0001,True,0.06307678132380255,4.476160935040386e-06
200,2000,5.0,0.0001,True,0.06099151831394362,0.0
200,1000,5.0,0.0001,True,0.060967271069642934,0.0
50,2000,10.0,0.0001,True,0.0796424986300307,0.0
50,1000,10.0,0.0001,True,0.0796424986300307,0.0
100,2000,10.0,0.0001,True,0.0681638531780863,0.0
100,1000,10.0,0.0001,True,0.06828508939958974,0.0
150,2000,10.0,0.0001,True,0.06631136371351395,4.476160935040386e-06
150,1000,10.0,0.0001,True,0.06280036273877473,4.476160935040386e-06
200,2000,10.0,0.0001,True,0.059944037360154016,0.0
200,1000,10.0,0.0001,True,0.06003617688849662,0.0
50,2000,5.0,0.001,True,0.09031128612233219,0.0
50,1000,5.0,0.001,True,0.09031128612233219,0.0
100,2000,5.0,0.001,True,0.08198478242947689,0.0
100,1000,5.0,0.001,True,0.08198478242947689,0.0
150,2000,5.0,0.001,True,0.08123796730501578,0.0
150,1000,5.0,0.001,True,0.08123796730501578,0.0
200,2000,5.0,0.001,True,0.07493368378683762,0.0
200,1000,5.0,0.001,True,0.07493368378683762,0.0
50,2000,10.0,0.001,True,0.08993787856010164,0.0
50,1000,10.0,0.001,True,0.08993787856010164,0.0
100,2000,10.0,0.001,True,0.08148043974802263,0.0
100,1000,10.0,0.001,True,0.08148043974802263,0.0
150,2000,10.0,0.001,True,0.08031172257272962,0.0
150,1000,10.0,0.001,True,0.08031172257272962,0.0
200,2000,10.0,0.001,True,0.07496762992885858,0.0
200,1000,10.0,0.001,True,0.07496762992885858,0.0
50,2000,5.0,0.01,True,0.09075258596860467,0.0
50,1000,5.0,0.01,True,0.09075258596860467,0.0
100,2000,5.0,0.01,True,0.09075258596860467,0.0
100,1000,5.0,0.01,True,0.09075258596860467,0.0
150,2000,5.0,0.01,True,0.09075258596860467,0.0
150,1000,5.0,0.01,True,0.09075258596860467,0.0
200,2000,5.0,0.01,True,0.09075258596860467,0.0
200,1000,5.0,0.01,True,0.09075258596860467,0.0
50,2000,10.0,0.01,True,0.09075258596860467,0.0
50,1000,10.0,0.01,True,0.09075258596860467,0.0
100,2000,10.0,0.01,True,0.09075258596860467,0.0
100,1000,10.0,0.01,True,0.09075258596860467,0.0
150,2000,10.0,0.01,True,0.09075258596860467,0.0
150,1000,10.0,0.01,True,0.09075258596860467,0.0
200,2000,10.0,0.01,True,0.09075258596860467,0.0
200,1000,10.0,0.01,True,0.09075258596860467,0.0
