support_grid,min_confidence,avg_hr,avg_ndcg
0.001,0.001,0.34124116794126347,0.08283291989121623
0.001,0.005,0.34124116794126347,0.08283291989121623
0.001,0.01,0.34124116794126347,0.08283291989121623
0.001,0.05,0.34124116794126347,0.08283291989121623
0.001,0.1,0.3523997497684388,0.08486733337788241
0.01,0.001,0.3560125891692409,0.09231218064763393
0.01,0.005,0.3560125891692409,0.09231218064763393
0.01,0.01,0.3560125891692409,0.09231218064763393
0.01,0.05,0.3560125891692409,0.09231218064763393
0.01,0.1,0.37536673957004785,0.09454276998975088
0.0001,0.001,0.2950986620370595,0.07013204862952856
0.0001,0.005,0.2950986620370595,0.07013204862952856
0.0001,0.01,0.2950986620370595,0.07013204862952856
0.0001,0.05,0.2950986620370595,0.07013204862952856
0.0001,0.1,0.30802729269818485,0.07306015029904626
