n_clusters,n_features,damping,reg,bias_value,avg_hr,avg_ndcg
50,1500,10.0,0.001,True,0.0006934711869995975,0.0006157416834226809
100,1500,10.0,0.001,True,0.0010862765446706983,0.0004990783541187117
100,1000,-,0.0001,False,0.0011105237889713834,4.354417372681332e-06
150,1500,-,0.01,False,5.8193386321644545e-05,0.0
150,500,5.0,0.01,True,0.0021822519870616703,0.0
150,1000,-,0.0001,False,0.0009068469368456275,5.389063548317108e-06
150,1500,10.0,0.001,True,0.0015954686749850878,0.0004136115802717898
200,1500,10.0,0.001,True,0.0022792409642644115,0.00030962798461820466
200,500,5.0,0.01,True,0.004311160036661834,0.0
50,500,10.0,0.01,True,0.0012511578059153578,9.158592552312029e-05
200,1000,-,0.0001,False,0.0018573389134324883,4.3459471223251505e-05
200,1500,-,0.01,False,8.244063062232978e-05,0.0
50,1500,5.0,0.01,True,0.0005528371700556232,0.000144732453724529
100,500,10.0,0.01,True,0.013796682007089894,0.0
50,1000,-,0.001,False,0.0005867833120765825,0.0
100,1000,-,0.001,False,0.0011202226866916575,0.0005745423807863441
50,2000,-,0.0001,False,0.0005964822097968566,0.0
150,1000,-,0.001,False,0.0017506510385094734,0.0005042814582903785
150,500,10.0,0.01,True,0.012104224354902065,0.0
100,1500,5.0,0.01,True,0.0013772434762789208,0.0
200,1000,-,0.001,False,0.002250144271103589,7.171940328925187e-06
100,2000,-,0.0001,False,0.0007128689824401457,4.423509689473303e-06
200,500,10.0,0.01,True,0.01723494124892706,0.0
50,1000,-,0.01,False,7.274173290205568e-05,0.0
150,1500,5.0,0.01,True,0.0016876082033276919,0.0
50,1000,5.0,0.0001,True,0.0006352778006779529,5.567599067014933e-06
100,1000,-,0.01,False,7.274173290205568e-05,0.0
150,2000,-,0.0001,False,0.0010280831583490537,5.910895119978027e-06
100,1000,5.0,0.0001,True,0.0013190500899572764,5.0701080566653905e-06
200,2000,-,0.0001,False,0.0012366094593349467,1.8446364036289878e-05
200,1500,5.0,0.01,True,0.0017409521407891993,0.0
150,1000,-,0.01,False,4.849448860137046e-05,0.0
150,1000,5.0,0.0001,True,0.0018864356065933106,9.05146498122887e-06
50,2000,-,0.001,False,0.0005819338632164455,0.0005692146591532029
50,1500,10.0,0.01,True,0.008365299283736404,0.0
200,1000,5.0,0.0001,True,0.0023325849017259187,8.28665485083522e-05
100,2000,-,0.001,False,0.0010377820560693277,1.4439501613211265e-05
200,1000,-,0.01,False,6.304283518178159e-05,0.0
150,2000,-,0.001,False,0.001721554345348651,9.631964089478336e-06
50,1000,10.0,0.0001,True,0.000746815124461105,9.312421199318658e-06
100,1500,10.0,0.01,True,0.012089676008321655,0.0
200,2000,-,0.001,False,0.002153155293900848,0.0004609899745517164
100,1000,10.0,0.0001,True,0.0012802544990761799,6.451107338389716e-06
50,2000,-,0.01,False,7.274173290205568e-05,0.0
150,1500,10.0,0.01,True,0.013331134916516737,0.0
150,1000,10.0,0.0001,True,0.001915532299754133,3.603739915235531e-06
200,1000,10.0,0.0001,True,0.0023956277369077002,0.0004006358049025747
50,1000,5.0,0.001,True,0.0006498261472583641,0.0005111076594444527
100,2000,-,0.01,False,8.244063062232978e-05,0.0
200,1500,10.0,0.01,True,0.017259188493227745,0.0
100,1000,5.0,0.001,True,0.0011590182775727538,0.0005548293993887046
150,1000,5.0,0.001,True,0.0016633609590270065,8.798437056112544e-06
200,1000,5.0,0.001,True,0.002337434350586056,3.656006762772795e-06
50,2000,5.0,0.0001,True,0.0006546755961185011,7.72290543549615e-06
150,2000,-,0.01,False,7.759118176219272e-05,0.0
50,1000,10.0,0.001,True,0.0006207294540975418,0.0005196558851823792
100,1000,10.0,0.001,True,0.001057179851509876,1.8816396412359167e-05
100,2000,5.0,0.0001,True,0.0012608567036356318,4.354417372681332e-06
150,1000,10.0,0.001,True,0.001721554345348651,2.7534431044541593e-05
200,2000,-,0.01,False,6.789228404191864e-05,0.0
200,1000,10.0,0.001,True,0.0021822519870616703,1.2990079272936235e-05
150,2000,5.0,0.0001,True,0.00192038174861427,0.0004999210498626938
50,1000,5.0,0.01,True,0.00042675149969206,0.0
200,2000,5.0,0.0001,True,0.0021095102541596146,0.00036326833569482944
100,1000,5.0,0.01,True,0.000746815124461105,0.0
50,2000,10.0,0.0001,True,0.0006207294540975418,0.0
100,2000,10.0,0.0001,True,0.0012463083570552207,2.5752594094657536e-05
150,1000,5.0,0.01,True,0.0025411112027118117,0.0
200,1000,5.0,0.01,True,0.0010814270958105611,0.0
