recommender,n_recs,hit_rate,ndcg
cf_all_users_all_items,6,0.6943198405501215,0.3200527969812921
mba,6,0.37536673957004785,0.09454276998975088
baseline,6,0.3853178086310491,0.10092930393051959
cf_all_users_aisles,6,0.22306009921972367,0.05107925164058296
cf_user_clusters_all_items,6,0.0014645335557613877,0.0002934622197013153
cf_user_clusters_aisles,6,0.0715924135222032,0.012546801461051487
cf_user_clusters_all_items,6,0.000979588669747683,0.00020139052390832443
cf_user_clusters_aisles,6,0.06558879583335354,0.011382847006504238
